X,Y,Class_Name
-7.442652,-1.0125993,apical
-1.2277594,2.0130303,apical
8.785849,1.3995681,apical
3.2512043,0.9988055,apical
11.412633,-0.8350314,apical
-1.6803976,0.2942439,apical
-9.4124155,1.4656335,apical
3.8162222,-1.6389837,apical
12.358476,0.7906482,apical
-8.613221,-1.0386871,apical
12.787547,-3.9546654,apical
0.0428086,2.9617898,apical
-0.09878024,7.2685766,apical
-6.011959,0.8076116,apical
3.291885,4.046739,apical
12.049915,-0.6967807,apical
6.9108334,-1.5953139,apical
2.4120517,3.3215873,apical
7.645728,-3.288512,apical
-10.344066,-1.8776323,apical
-5.944368,-1.0286922,apical
0.2679588,-1.2873816,apical
5.9160504,2.9266496,apical
0.12282483,-0.22649705,apical
-5.3995953,-0.33987784,apical
12.881618,-0.7602726,apical
-4.6828017,-3.4081442,apical
-3.8442013,1.0146772,apical
-4.7252474,2.7146697,apical
15.533375,-0.52195513,apical
16.135303,-0.54697067,apical
8.247341,5.435663,apical
6.7626944,1.0140969,apical
13.860924,-1.5805146,apical
15.792423,0.34536546,apical
11.848798,-2.0613,apical
-3.0872445,-1.0412512,apical
-2.0680106,3.4911258,apical
14.138303,0.6649866,apical
-0.7337336,-4.9547534,apical
5.1320806,-1.3975078,apical
0.6276762,-2.7524667,apical
-13.218003,-4.1550026,apical
-5.8642244,-4.3116393,apical
13.234186,-0.04562924,apical
-9.788161,-3.9615772,apical
15.74278,-1.875061,apical
5.765948,4.0401483,apical
-10.614756,-3.3743045,apical
-7.5228853,3.4736128,apical
7.1450677,2.3015687,apical
-12.719029,-4.4066596,apical
-11.55755,-4.255294,apical
-7.061052,-0.6816917,apical
4.2543907,0.5731387,apical
-0.16049568,-5.0353484,between the roots
14.569787,-2.4949052,between the roots
10.395981,-2.2031345,between the roots
-2.3673189,5.674666,between the roots
-12.139094,-3.1936522,between the roots
10.74492,2.311183,between the roots
-4.7648945,2.2000751,buccal
-11.354297,-3.5898178,buccal
4.7427897,-0.24062009,buccal
9.166024,6.7595453,buccal
2.2394226,3.9040205,buccal
-2.600807,5.3220544,buccal
-10.070639,2.3332765,buccal
2.2617567,-2.4276385,buccal
-9.234631,1.3383904,buccal
-7.056779,0.5658126,buccal
-8.576332,-0.75725055,buccal
-8.768688,1.8240618,buccal
1.4509332,0.3602554,buccal
3.078515,2.4171686,buccal
6.1837177,6.331804,buccal
-2.716441,2.742384,buccal
13.101203,-1.1231886,buccal
-8.079079,-2.377468,buccal
3.6753137,4.584227,buccal
10.706733,2.2325618,buccal
8.629792,4.4518676,buccal
-3.3191333,1.0735914,buccal
9.978954,-0.9748141,buccal
-7.499364,-0.36753026,buccal
-12.045214,-3.9296749,buccal
0.63643193,4.408766,buccal
1.8463322,2.2251415,buccal
8.561441,6.284721,buccal
5.759841,3.856646,buccal
-7.375221,-0.05018614,buccal
1.6252098,-1.2677747,buccal
2.8118505,5.3367662,buccal
11.322477,-0.34296787,buccal
-1.4727467,1.165607,buccal
8.457012,2.479987,buccal
-7.039607,-1.817887,buccal
-5.681045,-1.7187603,buccal
7.5632606,6.063964,buccal
-8.409157,0.2920301,buccal
-12.694308,-3.4945962,buccal
4.177135,6.166583,buccal
-0.16766287,2.3552969,buccal
4.7989736,2.649531,buccal
6.4271617,6.159308,buccal
1.1855804,-1.0806193,buccal
10.26656,6.5069313,buccal
13.336776,-2.4307234,lingual
6.09369,1.4694797,lingual
3.580319,-1.0751263,lingual
11.406857,-3.6132734,lingual
7.554269,-4.423776,lingual
-10.163445,-2.4024134,lingual
-5.742686,5.039056,lingual
-6.728262,-4.1162634,lingual
9.164027,-2.7082567,lingual
-5.0489635,3.5353458,lingual
13.083333,-2.7198393,lingual
-6.9933467,-3.783962,lingual
-7.230891,-3.42523,lingual
-0.81723607,3.233174,lingual
-7.4957814,3.4894128,lingual
12.764338,-1.9898639,lingual
-10.575586,-0.49818736,lingual
2.5972183,-0.53530383,lingual
8.1359005,-0.96981645,lingual
-3.6662595,-1.7875866,lingual
-0.17850628,1.2190051,lingual
14.565079,-1.0389507,lingual
9.347007,-2.951194,lingual
5.7528586,-4.3557525,lingual
1.2967936,2.240248,lingual
-10.776262,-2.865301,lingual
5.3597474,-3.648038,lingual
13.608413,2.2846394,lingual
